heldout_fold,source_fp,n_tiles,mean_flood_fraction,median_flood_fraction,min_flood_fraction,max_flood_fraction,total_valid_pixels,total_flood_pixels,total_flood_fraction,percent_tiles_within_fold
fp1,fp2,113,0.28151823758489136,0.1841888427734375,0.0011476664116296864,0.9493995391634749,7091454,2058030,0.29021269827034063,0.1524966261808367
fp1,fp3,130,0.3128387487608444,0.23583334279874818,0.0011476664116296864,0.9986722219678587,7343291,2259644,0.30771543712485316,0.17543859649122806
fp1,fp4,144,0.16320108917439657,0.10893749053185978,0.0,0.8133251833740831,7379560,1299579,0.17610521494506448,0.19433198380566802
fp1,fp5,133,0.22957907909161138,0.1291046142578125,0.0,0.993865966796875,7143483,1815722,0.25417880885276833,0.1794871794871795
fp1,fp6,135,0.29660605072039153,0.21511494516587895,0.002999555621389424,0.9986722219678587,7498284,2189204,0.29196066726733744,0.18218623481781376
fp1,fp7,86,0.23141372135879654,0.1417236328125,0.0013427734375,0.858062744140625,5635318,1304210,0.231435031705398,0.11605937921727395
fp2,fp1,109,0.130672021923816,0.0800323486328125,0.00030517578125,0.7626249523082793,7141836,933335,0.13068558281091866,0.15138888888888888
fp2,fp3,113,0.30261757663623245,0.22010102397411832,0.0043782837127845885,0.9878510256920932,6420843,1777013,0.27675696166375663,0.15694444444444444
fp2,fp4,142,0.14722427523606627,0.08218220380227652,0.0,0.8133251833740831,7438558,1186904,0.15956103320025197,0.19722222222222222
fp2,fp5,126,0.23751597138118732,0.1345606559345376,0.0,0.993865966796875,7028659,1833230,0.2608221568296314,0.175
fp2,fp6,136,0.2606625897349189,0.14949616980461647,0.002999555621389424,0.9878510256920932,7288531,1803518,0.2474460217017668,0.18888888888888888
fp2,fp7,94,0.22387642086164355,0.13256072998046875,1.52587890625e-05,0.858062744140625,6159483,1379091,0.2238972004630908,0.13055555555555556
fp3,fp1,107,0.13343174577500494,0.08147537731386104,0.00030517578125,0.7626249523082793,7011422,935599,0.13343926524462513,0.16512345679012347
fp3,fp2,96,0.2780189287893284,0.176103163480782,0.0119781494140625,0.9493995391634749,6290792,1748970,0.27802063714711917,0.14814814814814814
fp3,fp4,140,0.1631096672972158,0.10893749053185978,0.0,0.8096052270021067,7239909,1270208,0.1754452991052788,0.21604938271604937
fp3,fp5,133,0.23487177881918875,0.124114990234375,0.0,0.993865966796875,7308684,1884804,0.2578855509418659,0.2052469135802469
fp3,fp6,77,0.20352706268765464,0.15562184814262375,0.002999555621389424,0.7666157838497939,4515680,962042,0.21304476845126316,0.11882716049382716
fp3,fp7,95,0.2100906727123598,0.11196551144267959,1.52587890625e-05,0.858062744140625,6225019,1307934,0.210109238220799,0.14660493827160495
fp4,fp1,108,0.12618866564362355,0.07661117107726115,0.00030517578125,0.7626249523082793,7012444,892963,0.12733976913042014,0.1875
fp4,fp2,114,0.26961881464847687,0.16254489311191597,0.0011476664116296864,0.9493995391634749,7140208,1987043,0.2782892319103309,0.19791666666666666
fp4,fp3,127,0.29553574855627934,0.2206878662109375,0.0011476664116296864,0.9986722219678587,7167443,2039093,0.28449378669631553,0.2204861111111111
fp4,fp5,59,0.32444616308362784,0.2592321308673625,0.020782470703125,0.993865966796875,3863986,1253679,0.3244522625081975,0.10243055555555555
fp4,fp6,74,0.35399780972706507,0.2601068445801875,0.0207672119140625,0.9986722219678587,4024268,1323329,0.32883719473951534,0.1284722222222222
fp4,fp7,94,0.1865125920569386,0.09626007080078125,0.0013956734124214933,0.858062744140625,6095380,1148826,0.18847487769425367,0.16319444444444445
fp5,fp1,106,0.12678229569226182,0.07647760713856236,0.00030517578125,0.7626249523082793,6944954,880611,0.12679868002005484,0.1593984962406015
fp5,fp2,112,0.2666193893218503,0.167266845703125,0.001359311282283643,0.9493995391634749,7066512,1941760,0.274783372617212,0.16842105263157894
fp5,fp3,134,0.3168758544941662,0.2381772329695136,0.001359311282283643,0.9878510256920932,7333935,2178217,0.2970052229805691,0.20150375939849624
fp5,fp4,76,0.17837098803507825,0.10954043900789566,0.002999555621389424,0.8133251833740831,4370784,820272,0.18767159392914406,0.11428571428571428
fp5,fp6,143,0.2914799192244279,0.18211379631467262,0.002999555621389424,0.9878510256920932,7587129,2074096,0.273370335472087,0.21503759398496242
fp5,fp7,94,0.20465796076928597,0.12537384033203125,0.0013427734375,0.858062744140625,6159486,1260698,0.2046758447052238,0.14135338345864662
fp6,fp1,103,0.12367383122501181,0.0831054970903148,0.00030517578125,0.7626249523082793,6748678,834709,0.1236848164929487,0.17166666666666666
fp6,fp2,104,0.2670202124769344,0.1745597591488338,0.0011476664116296864,0.9493995391634749,6549232,1806425,0.2758224170406545,0.17333333333333334
fp6,fp3,83,0.2169206366469989,0.1849365234375,0.0011476664116296864,0.8451472858737026,5172250,1166174,0.2254674464691382,0.13833333333333334
fp6,fp4,84,0.1412558842350761,0.07893748149511648,0.0,0.7967479674796748,3895774,610260,0.15664666379517908,0.14
fp6,fp5,129,0.21944429055800926,0.1198577880859375,0.0,0.993865966796875,6843621,1687222,0.246539368559422,0.215
fp6,fp7,97,0.19753897068835308,0.11196551144267959,1.52587890625e-05,0.858062744140625,6356093,1255680,0.19755532211375762,0.16166666666666665
fp7,fp1,106,0.14058752814853887,0.08183808154519431,0.00030517578125,0.7626249523082793,6944827,976493,0.1406072462280198,0.13856209150326798
fp7,fp2,115,0.2662486828731887,0.164764404296875,0.0011476664116296864,0.9472302762093697,7164849,1978396,0.2761252888930388,0.1503267973856209
fp7,fp3,135,0.3051234861308672,0.2376708984375,0.0011476664116296864,0.9986722219678587,7420095,2145551,0.289154114603654,0.17647058823529413
fp7,fp4,141,0.16252131655874003,0.10236220472440945,0.0,0.8096052270021067,7235136,1279100,0.17679004237100726,0.1843137254901961
fp7,fp5,130,0.21502469464934776,0.11201663636150834,0.0,0.993865966796875,7041023,1667757,0.2368628819988232,0.16993464052287582
fp7,fp6,138,0.28488017188060377,0.2098883467371193,0.002999555621389424,0.9986722219678587,7459824,1991434,0.26695455549621544,0.1803921568627451
